time;generation biomass;generation fossil brown coal/lignite;generation fossil gas;generation fossil hard coal;generation fossil oil;generation hydro pumped storage consumption;generation hydro run-of-river and poundage;generation hydro water reservoir;generation nuclear;generation other;generation other renewable;generation solar;generation waste;generation wind onshore;forecast solar day ahead;forecast wind onshore day ahead;total load forecast;total load actual;price day ahead;price actual
2014-12-31 23:00:00;447;329;4844;4821;162;863;1051;1899;7096;43;73;49;196;6378;17;6436;26118;25385;50,1;65,41
2015-01-01 00:00:00;449;328;5196;4755;158;920;1009;1658;7096;43;71;50;195;5890;16;5856;24934;24382;48,1;64,92
2015-01-01 02:00:00;438;254;4314;4131;160;1503;949;779;7098;43;75;50;191;5238;2;5151;22642;21286;42,27;59,32
2015-01-01 10:00:00;421;226;3931;3845;166;1183;1069;1516;7097;42;73;3197;206;2771;2990;2450;23720;23547;45,14;59,86
2015-01-01 11:00:00;428;303;3784;4220;167;972;1052;1204;7097;41;75;3885;209;2906;3842;2819;24180;24133;45,14;60,12
2015-01-01 12:00:00;425;288;3754;4404;167;922;1041;1286;7099;40;74;4007;210;2923;3812;2830;24797;24713;47,35;62,05
2015-01-01 13:00:00;423;260;3779;4256;166;941;1028;1027;7097;40;76;3973;210;2945;3699;2851;25222;24672;47,35;62,06
2015-01-01 14:00:00;421;183;3708;4038;160;1069;1023;1151;7096;40;76;3818;210;2709;3369;2822;24173;23528;43,61;59,76
2015-01-01 15:00:00;422;256;3813;4191;163;970;1032;1156;7095;41;75;3088;211;2552;2615;2562;23659;23118;44,91;61,18
2015-01-01 16:00:00;426;322;3967;4707;165;798;1036;1626;7095;41;75;1467;208;2699;1387;2578;23982;23606;48,1;64,74
2015-01-01 17:00:00;427;282;4756;4756;164;1;1094;3203;7096;42;74;404;209;2764;399;2824;26981;26447;58,02;74,26
2015-01-01 22:00:00;438;320;4685;4942;160;0;1095;3511;7098;43;74;56;209;3527;14;3482;27589;26798;53,6;64,13
2015-01-02 17:00:00;410;0;4760;1178;199;595;1324;3886;7106;44;64;769;178;11276;618;11451;30136;29045;33,15;82,55
2015-01-02 18:00:00;435;0;6030;1345;205;78;1352;5553;7104;44;68;266;199;10510;170;10619;32754;31967;50;83,33
2015-01-02 19:00:00;435;0;5973;1354;214;68;1369;5604;7106;44;69;165;203;10406;104;10216;33968;33266;52,01;83,23
2015-01-02 20:00:00;437;0;6082;1348;215;68;1370;5902;7107;45;69;137;204;10445;93;10470;33870;33668;50,01;79,06
